level_0,index,Date,Type,Seconds,Duration,Description,Lat,Lon,full_address,neighbourhood,city,province,country_code,country,location_data_raw
0,61,10/10/1994 23:00,sphere,3600,~1 hour,Large rusty sphere,43.666667,-79.416667,"743, Manning Ave, Annex, Toronto, Toronto, Ontario, M6G 2W5, Canada",Annex,Toronto,Ontario,ca,Canada,"{'place_id': '333938358051', 'licence': 'https://locationiq.com/attribution', 'lat': '43.666635', 'lon': '-79.41669', 'display_name': '743, Manning Ave, Annex, Toronto, Toronto, Ontario, M6G 2W5, Canada', 'boundingbox': ['43.666635', '43.666635', '-79.41669', '-79.41669'], 'importance': 0.225, 'address': {'house_number': '743', 'road': 'Manning Ave', 'neighbourhood': 'Annex', 'city': 'Toronto', 'county': 'Toronto', 'state': 'Ontario', 'postcode': 'M6G 2W5', 'country': 'Canada', 'country_code': 'ca'}}"
1,80,10/10/1998 22:30,egg,7200,2 hours,Started off as 3 points of intense yellow light in triangle formation - then grew larger - it becage a single egg shape - VERY bright.,47.55,-52.666667000000004,"Blackhead, St. John's, Newfoundland, Newfoundland and Labrador, A1C 0A2, Canada",,St. John's,Newfoundland and Labrador,ca,Canada,"{'place_id': '4302662', 'licence': 'https://locationiq.com/attribution', 'osm_type': 'node', 'osm_id': '470734398', 'lat': '47.5247716', 'lon': '-52.6570084', 'display_name': ""Blackhead, St. John's, Newfoundland, Newfoundland and Labrador, A1C 0A2, Canada"", 'address': {'village': 'Blackhead', 'city': ""St. John's"", 'state_district': 'Newfoundland', 'state': 'Newfoundland and Labrador', 'postcode': 'A1C 0A2', 'country': 'Canada', 'country_code': 'ca'}, 'boundingbox': ['47.4847716', '47.5647716', '-52.6970084', '-52.6170084']}"
2,95,10/10/2000 07:30,cylinder,30,30seconds,Smooth Shiny Cylinder,46.216667,-63.483332999999995,"36, Causeway Road, Victoria, Queens County, Prince Edward Island, C0A 2G0, Canada",,,Prince Edward Island,ca,Canada,"{'place_id': '19011996', 'licence': 'https://locationiq.com/attribution', 'osm_type': 'node', 'osm_id': '1748028710', 'lat': '46.212265', 'lon': '-63.485442', 'display_name': '36, Causeway Road, Victoria, Queens County, Prince Edward Island, C0A 2G0, Canada', 'address': {'house_number': '36', 'road': 'Causeway Road', 'village': 'Victoria', 'county': 'Queens County', 'state': 'Prince Edward Island', 'postcode': 'C0A 2G0', 'country': 'Canada', 'country_code': 'ca'}, 'boundingbox': ['46.212165', '46.212365', '-63.485542', '-63.485342']}"
3,104,10/10/2001 20:10,other,300,+5 minutes,I observed an green object significantly above a house with the address ((deleted)) Dunbar Street.,49.25,-123.13333300000001,"1251, W King Edward Ave, Shaughnessy, Vancouver, Greater Vancouver, British Columbia, V6H 3B2, Canada",Shaughnessy,Vancouver,British Columbia,ca,Canada,"{'place_id': '332937248295', 'licence': 'https://locationiq.com/attribution', 'lat': '49.24977', 'lon': '-123.133178', 'display_name': '1251, W King Edward Ave, Shaughnessy, Vancouver, Greater Vancouver, British Columbia, V6H 3B2, Canada', 'boundingbox': ['49.24977', '49.24977', '-123.133178', '-123.133178'], 'importance': 0.2, 'address': {'house_number': '1251', 'road': 'W King Edward Ave', 'neighbourhood': 'Shaughnessy', 'city': 'Vancouver', 'county': 'Greater Vancouver', 'state': 'British Columbia', 'postcode': 'V6H 3B2', 'country': 'Canada', 'country_code': 'ca'}}"
4,114,10/10/2002 19:45,unknown,120,2 minutes approx,bright white light with black outline around it moving soundlessly and slowly from north banking east and disappearing upward.,46.216667,-63.483332999999995,"36, Causeway Road, Victoria, Queens County, Prince Edward Island, C0A 2G0, Canada",,,Prince Edward Island,ca,Canada,"{'place_id': '19011996', 'licence': 'https://locationiq.com/attribution', 'osm_type': 'node', 'osm_id': '1748028710', 'lat': '46.212265', 'lon': '-63.485442', 'display_name': '36, Causeway Road, Victoria, Queens County, Prince Edward Island, C0A 2G0, Canada', 'address': {'house_number': '36', 'road': 'Causeway Road', 'village': 'Victoria', 'county': 'Queens County', 'state': 'Prince Edward Island', 'postcode': 'C0A 2G0', 'country': 'Canada', 'country_code': 'ca'}, 'boundingbox': ['46.212165', '46.212365', '-63.485542', '-63.485342']}"
5,129,10/10/2004 03:50,changing,1200,20minutes,Series of Green Blue Red White lights spherical or triangular formation SE of Portage la Prairie&#44 Manitoba Canada,49.966667,-98.3,"Parish Lot, Portage la Prairie, Division No.  9, Manitoba, R1N 0T4, Canada",,Portage la Prairie,Manitoba,ca,Canada,"{'place_id': '331517728387', 'licence': 'https://locationiq.com/attribution', 'lat': '49.964857', 'lon': '-98.298587', 'display_name': 'Parish Lot, Portage la Prairie, Division No.  9, Manitoba, R1N 0T4, Canada', 'boundingbox': ['49.964832', '49.967723', '-98.299477', '-98.293519'], 'importance': 0.175, 'address': {'road': 'Parish Lot', 'city': 'Portage la Prairie', 'county': 'Division No.  9', 'state': 'Manitoba', 'postcode': 'R1N 0T4', 'country': 'Canada', 'country_code': 'ca'}}"
6,132,10/10/2004 09:45,unknown,300,5:00,Floating Red Object,45.416667,-80.1,"Nobel, Nobel Road, McDougall Township, Parry Sound District, Central Ontario, Ontario, P0G 1G0, Canada",,McDougall Township,Ontario,ca,Canada,"{'place_id': '69084484', 'licence': 'https://locationiq.com/attribution', 'osm_type': 'node', 'osm_id': '6328194360', 'lat': '45.4176079', 'lon': '-80.0987412', 'display_name': 'Nobel, Nobel Road, McDougall Township, Parry Sound District, Central Ontario, Ontario, P0G 1G0, Canada', 'address': {'address29': 'Nobel', 'road': 'Nobel Road', 'city': 'McDougall Township', 'county': 'Parry Sound District', 'state_district': 'Central Ontario', 'state': 'Ontario', 'postcode': 'P0G 1G0', 'country': 'Canada', 'country_code': 'ca'}, 'boundingbox': ['45.4175079', '45.4177079', '-80.0988412', '-80.0986412']}"
7,185,10/10/2008 02:00,other,120,2 min. approx,C shape with a T front over London ont on Oct 10&#44 2008 on a clear day around 2PM,42.983333,-81.25,"149, Dundas St, London, Middlesex, Ontario, N6A 1G3, Canada",,London,Ontario,ca,Canada,"{'place_id': '332177776292', 'licence': 'https://locationiq.com/attribution', 'lat': '42.983337', 'lon': '-81.249936', 'display_name': '149, Dundas St, London, Middlesex, Ontario, N6A 1G3, Canada', 'boundingbox': ['42.983337', '42.983337', '-81.249936', '-81.249936'], 'importance': 0.225, 'address': {'house_number': '149', 'road': 'Dundas St', 'city': 'London', 'county': 'Middlesex', 'state': 'Ontario', 'postcode': 'N6A 1G3', 'country': 'Canada', 'country_code': 'ca'}}"
8,240,10/10/2011 20:00,flash,4,2-4 seconds,Strange flash in the sky,43.25,-79.833333,"15, Spadina Avenue, Hamilton, Hamilton, Ontario, L8M 1C8, Canada",,Hamilton,Ontario,ca,Canada,"{'place_id': '332066417682', 'licence': 'https://locationiq.com/attribution', 'lat': '43.250068', 'lon': '-79.833447', 'display_name': '15, Spadina Avenue, Hamilton, Hamilton, Ontario, L8M 1C8, Canada', 'boundingbox': ['43.250068', '43.250068', '-79.833447', '-79.833447'], 'importance': 0.2, 'address': {'house_number': '15', 'road': 'Spadina Avenue', 'city': 'Hamilton', 'county': 'Hamilton', 'state': 'Ontario', 'postcode': 'L8M 1C8', 'country': 'Canada', 'country_code': 'ca'}}"
9,270,10/10/2013 17:10,light,10,10 seconds,FATHER: My name is Eldon Trepanier&#44  and I assure you that the following statement is true.At approximately 5:10 pm&#44 I spotted a very b,45.416667,-75.7,"255, Nepean Street, Centretown, Ottawa, Ottawa, Ontario, K2P 0B7, Canada",Centretown,Ottawa,Ontario,ca,Canada,"{'place_id': '331308888021', 'osm_type': 'way', 'osm_id': '482238181', 'licence': 'https://locationiq.com/attribution', 'lat': '45.416689', 'lon': '-75.699972', 'display_name': '255, Nepean Street, Centretown, Ottawa, Ottawa, Ontario, K2P 0B7, Canada', 'boundingbox': ['45.416689', '45.416689', '-75.699972', '-75.699972'], 'importance': 0.225, 'address': {'house_number': '255', 'road': 'Nepean Street', 'neighbourhood': 'Centretown', 'city': 'Ottawa', 'county': 'Ottawa', 'state': 'Ontario', 'postcode': 'K2P 0B7', 'country': 'Canada', 'country_code': 'ca'}}"
