,index,Date,City,State,Country,Type,Seconds,Duration,Description,Date added,Lat,Lon
0,496,10/1/1966 19:00,edmonton (30 mi. east of&#44 hwy 16 east) (canada),ab,ca,diamond,300,5 min,Unusual ights in distance. Approached until object overhead as wide as road and ditch. Bright lights&#44 Turned head to find object in hor,8/5/2001,53.55,-113.5
1,1425,10/13/2012 20:00,calgary (canada),ab,ca,light,120,120 seconds,Bright light seen over calgary se,10/30/2012,51.083333,-114.08333300000001
2,1635,10/14/2010 22:05,calgary (canada),ab,ca,other,20,20 seckonds,ASTRONOMER REPORT:  3 objects in the night sky moving @ high rate of speed.,11/21/2010,51.083333,-114.08333300000001
3,1709,10/15/1952 24:00,edmonton (southwest of) (canada),ab,ca,cylinder,120,approx. 2 min.,Good evening folks---What I am about to discribe is what I saw back in 1952&#44in an area that is about 75 to 80 miles southwest of the ci,1/17/2004,53.55,-113.5
4,2007,10/15/2000 12:35,sherwood park (canada),ab,ca,egg,45,45 sec.,I was talking to my wife on a cell phone from a work site just North of Sherwood Park Alberta. Mid-way through the conversation I notic,1/11/2002,53.516667,-113.316667
5,2913,10/19/2000 20:00,sherwood park (canada),ab,ca,unknown,2,1 to 2 seconds,6+ beige colored objects&#44 flying in a triangular formation&#44 followed by a wispy column in the night sky over Sherwood Park&#44 Alberta.,12/2/2000,53.516667,-113.316667
6,2925,10/19/2002 17:50,calgary (canada),ab,ca,egg,600,10 mins,STRANGE OBJECT SPOTTED OVER THE CITY OF CALGARY,10/28/2002,51.083333,-114.08333300000001
7,3631,10/2/2003 12:00,hanna (canada),ab,ca,cigar,180,3 minutes,They were aligned in a triangle formation they appared to be rotating in a circle.There was a burst of green light then they disape,10/15/2003,51.633333,-111.91666699999999
8,4320,10/24/2008 22:00,edmonton (canada),ab,ca,light,900,15 minutes,Balls of lights dancing in the clouds.,10/31/2008,53.55,-113.5
9,4460,10/25/1999 14:00,edmonton (canada),ab,ca,cylinder,2400,approx: 40 mins,HBCCUFO CANADIAN REPORT:  I noticed a black cylinder orientated vertically.,8/1/2003,53.55,-113.5
10,4533,10/25/2007 22:05,vulcan (14 miles nw of) (canada),ab,ca,circle,60,50-60 seconds,bright green intensely glowing ball &#39falls&#39 rapidly from the sky and then zig zags away,3/4/2008,50.4,-113.25
