,Date,City,State,Country,Type,Seconds,Duration,Description,Date added,Lat,Lon
95,10/10/2000 07:30,victoria (canada),bc,ca,cylinder,30,30seconds,Smooth Shiny Cylinder,12/2/2000,46.216667,-63.483332999999995
104,10/10/2001 20:10,vancouver (canada),bc,ca,other,300,+5 minutes,I observed an green object significantly above a house with the address ((deleted)) Dunbar Street.,5/12/2011,49.25,-123.13333300000001
114,10/10/2002 19:45,victoria (canada),bc,ca,unknown,120,2 minutes approx,bright white light with black outline around it moving soundlessly and slowly from north banking east and disappearing upward.,10/15/2002,46.216667,-63.483332999999995
576,10/1/1987 19:00,victoria (canada),bc,ca,sphere,900,15mins,Large red and orange sphere&#44 balanced on a rock in 1987.,10/30/2006,46.216667,-63.483332999999995
735,10/1/2003 22:30,quesnel (canada),bc,ca,other,120,1 1/2 minutes,HBCCUFO CANADIAN REPORT:  The witness said the object was a brilliant red in color.,10/15/2003,52.983333,-122.483333
879,10/1/2008 19:40,delta (canada),bc,ca,disk,5,5 seconds,Lighted disk stops overhead,10/31/2008,50.183333,-98.31666700000001
1057,10/12/2002 23:45,langley (canada),bc,ca,triangle,30,30 seconds,I went outside to have a cigarette pretty close to midnight on Oct. 12th&#44 2002.I star gaze on a regular basis. I live close to the Lang,10/28/2002,49.1,-122.65
1096,10/12/2006 18:30,victoria (canada),bc,ca,unknown,120,< 2 minutes,Saw bright large light 2000 feet&#44Juan de Fuca strait&#444 miles south of Victoria Dissappeared with out moving,10/30/2006,46.216667,-63.483332999999995
2510,10/17/1999 07:55,victoria (canada),bc,ca,teardrop,300,5 min approx.,Very bright light observed in eastern sky. After watching for several minutes determined it was moving away from us.,12/2/2000,46.216667,-63.483332999999995
2682,10/17/2013 24:00,chilliwack (canada),bc,ca,changing,120,2 minutes,New Information in order to make sense of sightings.,10/23/2013,49.166667,-121.95
2711,10/18/2000 20:45,vancouver (canada),bc,ca,unknown,60,less than 1 mn,Static orange &quot;garland&quot; silently gliding over Vancouver,12/2/2000,49.25,-123.13333300000001
2858,10/18/2013 19:30,victoria (canada),bc,ca,light,600,10 minutes,3 orange lights seen moving in the sky,10/23/2013,46.216667,-63.483332999999995
2939,10/19/2003 23:30,vancouver (canada),bc,ca,light,3,3 seconds,HBCCUFO CANADIAN REPORT:  Red light falling vertically.,10/31/2003,49.25,-123.13333300000001
3247,10/20/2006 01:30,victoria (canada),bc,ca,sphere,7200,approx 2hrs,UFO That Performed For Hours (Caught On Tape) ((NUFORC Note:  Possible sighting of twinkling star?  PD)),10/30/2006,46.216667,-63.483332999999995
3344,10/20/2011 22:40,williams lake (canada),bc,ca,triangle,1800,30 min,we just arrived home about 1 hour ago and im still shaking me and my wife and my 1 year old were returning from a trip and we noticed t,10/25/2011,52.116667,-122.15
3633,10/2/2003 19:15,smithers (canada),bc,ca,unknown,120,2 minutes,HBCCUFO CANADIAN REPORT:  A huge orange ball with a very short tail,10/7/2003,54.766667,-127.16666699999999
3818,10/22/2003 19:00,houston (canada),bc,ca,light,180,3 minutes,HBCCUFO CANADIAN REPORT:  Huge bright light drops right over the tree tops.,10/31/2003,54.4,-126.65
3820,10/22/2003 20:54,houston (canada),bc,ca,fireball,4,3 to 4 seconds,HBCCUFO CANADIAN REPORT:  Large blue fireball steaks across the sky.,10/31/2003,54.4,-126.65
4405,10/24/2013 19:10,west vancouver (canada),bc,ca,light,600,10 minutes,Solid white light over Vancouver BC moving due south.,11/11/2013,49.25,-123.13333300000001
4442,10/25/1989 18:45,endako (canada),bc,ca,unknown,1500,approx: 25 minutes,HBCCUFO CANADIAN REPORT:  Unusual object which was flying low and parallel to their vehicle along Highway #16.,3/17/2004,54.083333,-125.016667
4532,10/25/2007 21:00,victoria (canada),bc,ca,light,60,60 seconds,Two seperate sightings&#44 from living room window&#44 west coast of Canada,11/28/2007,46.216667,-63.483332999999995
4695,10/26/2003 16:25,vernon (canada),bc,ca,other,300,5 mins,I was standing behind my car&#44 waiting for a phone call and I looked up to the clouds and notice a white dot moving at a slow pace. I wa,11/8/2003,46.183333,-62.88333299999999
4844,10/27/2001 19:30,abbotsford (canada),bc,ca,triangle,9,5 to 9 seconds,Large meteor or other object enters sky west of Mission BC at approx 1930 hrs 01/10/27,11/20/2001,45.433333,-72.883333
