Date,City,State,Country,Type,Seconds,Duration,Description,Date added,Lat,Lon
10/10/1994 23:00,toronto (greater toronto area) (canada),on,ca,sphere,3600,~1 hour,Large rusty sphere,7/3/2013,43.666667,-79.416667
10/10/1998 22:30,st. john&#39s (canada),nf,ca,egg,7200,2 hours,Started off as 3 points of intense yellow light in triangle formation - then grew larger - it becage a single egg shape - VERY bright.,12/2/2000,47.55,-52.666667000000004
10/10/2000 07:30,victoria (canada),bc,ca,cylinder,30,30seconds,Smooth Shiny Cylinder,12/2/2000,46.216667,-63.483332999999995
10/10/2001 20:10,vancouver (canada),bc,ca,other,300,+5 minutes,I observed an green object significantly above a house with the address ((deleted)) Dunbar Street.,5/12/2011,49.25,-123.13333300000001
10/10/2002 19:45,victoria (canada),bc,ca,unknown,120,2 minutes approx,bright white light with black outline around it moving soundlessly and slowly from north banking east and disappearing upward.,10/15/2002,46.216667,-63.483332999999995
10/10/2004 03:50,portage la prairie (canada),mb,ca,changing,1200,20minutes,Series of Green Blue Red White lights spherical or triangular formation SE of Portage la Prairie&#44 Manitoba Canada,10/27/2004,49.966667,-98.3
10/10/2004 09:45,nobel (canada),on,ca,unknown,300,5:00,Floating Red Object,10/27/2004,45.416667,-80.1
10/10/2008 02:00,london (canada),on,ca,other,120,2 min. approx,C shape with a T front over London ont on Oct 10&#44 2008 on a clear day around 2PM,6/9/2009,42.983333,-81.25
10/10/2011 20:00,hamilton (canada),on,ca,flash,4,2-4 seconds,Strange flash in the sky,10/19/2011,43.25,-79.833333
10/10/2013 17:10,ottawa (canada),on,ca,light,10,10 seconds,FATHER: My name is Eldon Trepanier&#44  and I assure you that the following statement is true.At approximately 5:10 pm&#44 I spotted a very b,10/14/2013,45.416667,-75.7
10/10/2013 19:15,harvey station (canada),nb,ca,light,120,2 minutes,Slow moving bright orange light.,10/23/2013,45.716667,-67.0
10/11/1999 18:00,parry sound (near) (canada),on,ca,disk,6,6 seconds,A silvery disk shaped object&#44 flew over an aircraft&#44 then disappeared.,4/22/2003,45.333333,-80.033333
10/11/2009 04:45,st. john&#39s (canada),nf,ca,flash,5,>5 seconds,Bending streak of white light over suburban area.,12/12/2009,47.55,-52.666667000000004
10/11/2013 03:00,hamilton (canada),on,ca,cylinder,3600,0300:0400,Enlarged still frame pics of the video show strage shapes and strange colors.,10/23/2013,43.25,-79.833333
10/11/2013 16:01,pickering (canada),on,ca,circle,300,5 minutes,Glowing blue sphere in Ontario&#44 Canada.,1/30/2014,43.866667,-79.033333
10/11/2013 22:18,windsor (canada),on,ca,light,300,3-5 minutes,5 orange lights seen in sky over windsor.,10/14/2013,45.583333,-72.0
10/1/1966 19:00,edmonton (30 mi. east of&#44 hwy 16 east) (canada),ab,ca,diamond,300,5 min,Unusual ights in distance. Approached until object overhead as wide as road and ditch. Bright lights&#44 Turned head to find object in hor,8/5/2001,53.55,-113.5
10/1/1970 01:00,kingston (canada),on,ca,sphere,180,3 minutes,Sept. 1970. Kingston Ontario. Spherical grren orb. 3 minute duration. Bright green orb travelled slowly and then took off extremely qui,10/11/2005,44.233333,-76.483333
10/1/1987 19:00,victoria (canada),bc,ca,sphere,900,15mins,Large red and orange sphere&#44 balanced on a rock in 1987.,10/30/2006,46.216667,-63.483332999999995
10/1/2000 09:00,markham (canada),on,ca,cigar,600,10 min,It was some time in oct 2000.I was taking my wife to work on Markham road&#44 traveling south bound. There was a lot of traffic and lots o,8/5/2009,43.866667,-79.266667
10/1/2003 02:00,peterborough (canada),on,ca,unknown,30,15-30 seconds,GARGATUAN EXLPOSION IN THE SKY EMITS BRILLIANT BLINDING LIGHT AND EARTHQUAKE LIKE TREMORS,6/4/2004,44.3,-78.333333
10/1/2003 22:30,quesnel (canada),bc,ca,other,120,1 1/2 minutes,HBCCUFO CANADIAN REPORT:  The witness said the object was a brilliant red in color.,10/15/2003,52.983333,-122.483333
10/1/2004 23:15,saskatoon (canada),sk,ca,circle,7,5-7 seconds,Very bright&#44 circular object in evening sky,10/27/2004,52.133333,-106.66666699999999
10/1/2005 20:08,hamilton (canada),on,ca,light,15,15 seconds,2 bright lights simutaneously travelling north - Hamilton Ontario Canada -,10/11/2005,43.25,-79.833333
10/1/2007 01:00,barrie (canada),on,ca,circle,60,1min,the ufos went over my house  500 Lights On Object0: Yes,11/28/2007,44.383333,-79.7
10/1/2007 20:00,north battleford (canada),sk,ca,disk,60,1 min,I was driving with my family and we looked up and seen a ufo almost directly above us.,12/12/2009,52.766667,-108.28333300000001
10/1/2008 19:40,delta (canada),bc,ca,disk,5,5 seconds,Lighted disk stops overhead,10/31/2008,50.183333,-98.31666700000001
10/1/2010 21:00,saskatoon (canada),sk,ca,changing,60,30-60 seconds,hazy yellow-orange light(s) that changed shape and moved fluidly,11/21/2010,52.133333,-106.66666699999999
10/1/2011 00:53,thunder bay (canada),on,ca,other,5,4-5 seconds,0:53 or 12:53 am EST&#44 Saturday October 1st 2011&#44 Thunder Bay&#44 ON&#44 T like figure&#44 4 seconds&#44 dim orange lights&#44 silent  500 Lights On Ob,10/10/2011,48.4,-89.233333
10/1/2012 11:20,welland (canada),on,ca,fireball,2700,45 minutes,Groups of 2 Orange/yellow balls shot through the sky in a set path and disappeared over and over,10/30/2012,42.983333,-79.25
10/12/2002 23:45,langley (canada),bc,ca,triangle,30,30 seconds,I went outside to have a cigarette pretty close to midnight on Oct. 12th&#44 2002.I star gaze on a regular basis. I live close to the Lang,10/28/2002,49.1,-122.65
10/12/2003 21:15,pickering (canada),on,ca,circle,7200,a few hours,There were 4 sometimes 5 seperate crafts with one bright light each which was all you could see and  were changing formations.,1/17/2004,43.866667,-79.033333
10/12/2005 13:06,richmond hill (canada),,ca,circle,3,3 seconds,The flything ubject came out of the clouds&#44&#44&#44 and stayed there for about 5 - 10 seconds and it sudenly moved to the right hand side by,11/3/2005,43.866667,-79.43333299999999
10/12/2006 01:23,cornwall (canada),on,ca,sphere,1620,27 minutes,Floating red object over local baseball field.,10/8/2007,46.24,-63.21
10/12/2006 18:30,victoria (canada),bc,ca,unknown,120,< 2 minutes,Saw bright large light 2000 feet&#44Juan de Fuca strait&#444 miles south of Victoria Dissappeared with out moving,10/30/2006,46.216667,-63.483332999999995
10/12/2012 21:25,oshawa (canada),on,ca,triangle,3,3 seconds,Large silent metallic craft&#44very fast and no lights,10/30/2012,43.9,-78.866667
10/12/2013 20:28,keswick (canada),on,ca,sphere,120,2 minutes,Fuzzy orange sphere in night sky moving quickly south to north no nav lights visible,10/14/2013,44.25,-79.466667
10/12/2013 22:00,sundridge (canada),on,ca,sphere,15,several hours,Multi colored Lights that moved in all random directons.  ((NUFORC Note:  We suspect &quot;twinkling&quot; stars.  PD)),10/14/2013,45.766667,-79.4
10/13/2003 07:00,mississauga (canada),on,ca,fireball,180,3 minutes,Large fiery meteor-like entry,10/17/2003,43.15,-79.5
10/13/2003 20:15,bolton (canada),on,ca,light,120,2 minutes,Star like object flying/wobbling.,10/15/2003,43.883333,-79.733333
10/13/2003 22:20,laval (canada),pq,ca,triangle,180,approx: 3 minutes,HBCCUFO CANADIAN REPORT:  The lights changed into the shape of a large triangular craft.,10/17/2003,45.6,-73.733333
10/13/2007 01:59,iroquois falls (canada),on,ca,triangle,120,approxmately 2 minutes,triangular shaped craft with lights at each point&#44 rotating over remote northern Canadian town. report 30 minutes after witnessing.,3/4/2008,48.766667,-80.666667
10/13/2009 02:45,belleville (canada),on,ca,disk,5,5 seconds,I was driving back to Cornwall ontario from burlington for thanksgiving. It was approximately 0245 -0300 hours in the am. It was at the,7/6/2010,44.166667,-77.383333
10/13/2012 20:00,calgary (canada),ab,ca,light,120,120 seconds,Bright light seen over calgary se,10/30/2012,51.083333,-114.08333300000001
10/13/2013 04:30,toronto (canada),on,ca,fireball,3600,1 hour,Orange fireballs over Lake Ontario.  Geometric shapes.,10/14/2013,43.666667,-79.416667
10/13/2013 21:30,regina (canada),sk,ca,light,20,20 seconds,Four red lights in sky&#44 that faded and disapeared,10/14/2013,50.45,-104.616667
10/14/1998 06:45,winnipeg (canada),mb,ca,sphere,3600,1hour,at 6:45am when l was heading off to work  my mom and l saw  5 large white spheres &#44they were moving  slowly in a circular  pattern,11/2/2004,49.883333,-97.166667
10/14/1999 16:30,kingston (canada),on,ca,light,45,30-45 seconds,I was looking straight up at my TV antenna because my cable had become disconnected from the antenna.  I saw a small bright light glidi,12/2/2000,44.233333,-76.483333
10/14/2002 18:05,windsor (canada),on,ca,other,600,10 minutes,5 slow moving objects near detroit/windsor,10/28/2002,45.583333,-72.0
10/14/2002 22:30,oshawa (canada),on,ca,light,1200,15-20 min.,UP to 7 silent orange lights seen hovering for quite a while. ((Vandenberg rocket launch.  PD)),10/15/2002,43.9,-78.866667
10/14/2003 13:15,chicoutimi (canada),pq,ca,cylinder,2,2 sec,I&#39ve see a big cylidner maybe 30-40 feet long  in the sky in low altitude don&#39t know what it is but it was really fast .like a flying c,10/15/2003,48.433333,-71.06666700000001
10/14/2010 22:05,calgary (canada),ab,ca,other,20,20 seckonds,ASTRONOMER REPORT:  3 objects in the night sky moving @ high rate of speed.,11/21/2010,51.083333,-114.08333300000001
10/14/2013 16:00,hawkesbury (canada),on,ca,sphere,30,30 seconds,One bright-white orb moving erratically over highway 50 in quebec &#44canada seemed to appear and warp to another point in the sky.,10/23/2013,45.616667,-74.6
10/14/2013 16:00,hawkesbury (canada),on,ca,sphere,30,30 seconds,One bright-white orb moving erratically over highway 50 in quebec&#44 canada seemed to appear and warp to another point in the sky.,10/23/2013,45.616667,-74.6
10/14/2013 19:30,toronto (canada),on,ca,light,1200,15-20 minutes,8 Red Orb Lights over large City of Toronto.,10/23/2013,43.666667,-79.416667
10/15/1952 24:00,edmonton (southwest of) (canada),ab,ca,cylinder,120,approx. 2 min.,Good evening folks---What I am about to discribe is what I saw back in 1952&#44in an area that is about 75 to 80 miles southwest of the ci,1/17/2004,53.55,-113.5
10/15/1972 08:30,toronto (canada),on,ca,oval,2,seconds,observed tarnished&#44 oval shaped object with black symbols on side travelling south at a steady speed towards Lake Ontario,5/12/2010,43.666667,-79.416667
10/15/1981 07:30,stonewall (canada),mb,ca,triangle,36000,10 hours,I remember feeling so scared and helpless&#44 trouble breathing&#44 feeling of being abandoned.,11/20/2013,50.133333,-97.31666700000001
10/15/1988 01:00,ottawa (canada),on,ca,triangle,2700,45 minutes,...triangular in shape blotting out most of the bluff in the background&#44 the horizon and part of the night sky,7/5/2005,45.416667,-75.7
10/15/1989 23:00,georgetown (canada),on,ca,oval,240,3-4 minutes,georgetown sighting  anyone else see it?,2/14/2008,46.183333,-62.533333
10/15/1999 19:30,mississauga (canada),on,ca,triangle,3,3 seconds,Was outside taking a coffee break and notice three what i first thought was three fighters flying in formation&#44 but there was no engine,12/2/2000,43.15,-79.5
10/15/1999 20:15,montreal (canada),pq,ca,,900,15 min,UFO&#39s sighted over Montreal&#44 Quebec&#44 November&#44 1999.,5/14/2002,45.5,-73.583333
10/15/2000 01:30,whitby (canada),on,ca,circle,1,< sec,Green hazy light seen north of Toronto,12/2/2000,43.866667,-78.93333299999999
10/15/2000 12:35,sherwood park (canada),ab,ca,egg,45,45 sec.,I was talking to my wife on a cell phone from a work site just North of Sherwood Park Alberta. Mid-way through the conversation I notic,1/11/2002,53.516667,-113.316667
10/15/2004 23:00,waterloo (canada),on,ca,circle,15,15 second,Three large lights in triangle form and then they got smaller and disappeared,2/1/2007,45.35,-72.516667
10/15/2005 23:40,thunder bay (canada),on,ca,disk,120,2 minutes,Cloudly except for a circle around the near full moon&#44 which was illuminated in blues and greens&#44 then a saucer appeared,10/20/2005,48.4,-89.233333
10/15/2006 22:00,thompson (canada),mb,ca,,432000,5 days,Orions Belt    *nebula (faint) out in                      .<                      *    *    * unknown   cluster  .< . < *          *,2/1/2007,55.75,-97.866667
10/15/2013 17:00,kirkland (canada),qc,ca,disk,300,5 minutes,Flying saucer there than gone in seconds.,3/18/2014,45.46,-73.85
