,index,Date,City,State,Country,Type,Seconds,Duration,Description,Date added,Lat,Lon
0,129,10/10/2004 03:50,portage la prairie (canada),mb,ca,changing,1200,20minutes,Series of Green Blue Red White lights spherical or triangular formation SE of Portage la Prairie&#44 Manitoba Canada,10/27/2004,49.966667,-98.3
1,1497,10/14/1998 06:45,winnipeg (canada),mb,ca,sphere,3600,1hour,at 6:45am when l was heading off to work  my mom and l saw  5 large white spheres &#44they were moving  slowly in a circular  pattern,11/2/2004,49.883333,-97.166667
2,1810,10/15/1981 07:30,stonewall (canada),mb,ca,triangle,36000,10 hours,I remember feeling so scared and helpless&#44 trouble breathing&#44 feeling of being abandoned.,11/20/2013,50.133333,-97.31666700000001
3,2157,10/15/2006 22:00,thompson (canada),mb,ca,,432000,5 days,Orions Belt    *nebula (faint) out in                      .<                      *    *    * unknown   cluster  .< . < *          *,2/1/2007,55.75,-97.866667
4,2283,10/16/1988 00:34,winnipeg (canada),mb,ca,triangle,1200,20 minutes,Triangular shape lands in a manitoban field.  ((NUFORC Note:  Possibly not a serious report.  PD)),5/11/2005,49.883333,-97.166667
5,4082,10/23/2008 14:00,hamiota (canada),mb,ca,other,90,90 secs,Round ball with fuselage attached.,1/10/2009,50.183333,-100.6
6,4207,10/24/1977 19:00,winnipeg (canada),mb,ca,triangle,60,1 minute,Black Triangle hovers over car in city (soundless)&#44 street lights went out&#44 &quot;whoosh&quot; acceleration&#44 then street lights  back on.,11/21/2010,49.883333,-97.166667
7,6815,10/6/2012 23:30,thompson (canada),mb,ca,light,1800,30 minutes,2 Bright lights&#44 Noises of white noise and screeching on phones. Vehicle problems.,10/30/2012,55.75,-97.866667
8,7234,10/9/2002 20:55,winnipeg (canada),mb,ca,light,15,15 sek,satellite? meet airplane,10/15/2002,49.883333,-97.166667
9,11652,11/20/2009 07:00,lac du bonnet (&quot;rm of&quot; ??) (canada),mb,ca,light,600,10 minutes,Strange orange glow coming from trees alongside highway.,6/3/2010,50.266667,-96.05
10,11770,11/21/2005 12:01,brandon (canada),mb,ca,flash,120,2 minutes,a cool night in November 2005 a couple of my friends and I were having a few drinks in my backyard.  Suddenly this flash of light comes,5/15/2006,49.833333,-99.95
11,11774,11/21/2005 21:04,brandon (canada),mb,ca,disk,10,5 to 10 seconds,White dot teleports in a triangular motion...unbelievable&#33,5/15/2006,49.833333,-99.95
12,11989,11/2/2005 16:10,winnipeg (canada),mb,ca,light,60,45sec to 1min.,Observerd around ten&#44 bright&#44 rapidlly moving objects in a late afternoon sky.,11/8/2005,49.883333,-97.166667
13,14852,11/5/2004 06:30,winnipeg (canada),mb,ca,light,10,10 seconds,green light travelled through clouds for 8 seconds then exploded.,12/3/2004,49.883333,-97.166667
14,15032,1/15/2010 13:00,pinawa (canada),mb,ca,light,40,40 sec,I saw a strange light at our local Girl Guide unit.,2/14/2010,50.15,-95.883333
15,15304,1/16/2006 03:25,winnipeg (canada),mb,ca,disk,180,3 min,UFO sighting on Bishop Grandin Boulevard,2/1/2007,49.883333,-97.166667
16,15402,11/6/2010 19:00,riverton (canada),mb,ca,circle,10,5-10 seconds,I went outside on the evening of November 6&#442010 at around 7:00 PM(for a cigarette)&#44I then noticed a very bright light in the East&#44defi,11/21/2010,51,-97.0
17,16718,1/20/2004 17:00,winnipeg (canada),mb,ca,fireball,2,few seconds,green fireball from sky falling very fast in the city,1/31/2004,49.883333,-97.166667
18,18425,12/15/2011 21:00,great falls (canada),mb,ca,triangle,720,10-12 minutes,First and third object flew eastwards made a turn north east&#44north of my house second flew east in a more parallel line turning s.e,12/17/2011,50.45,-96.016667
19,18762,12/17/2013 18:00,winnipeg (canada),mb,ca,oval,600,10 minutes,((HOAX??))  craft with lights&#44 lemon shaped&#44 moving north west over winnipeg.,12/23/2013,49.883333,-97.166667
20,18939,12/19/2001 18:45,winnipeg (canada),mb,ca,circle,15,15 seconds,Red circular object changes colour and speeds up and changes direction slightly.,1/11/2002,49.883333,-97.166667
21,20169,12/24/1999 11:00,winnipeg (canada),mb,ca,unknown,1200,20 min.,a dark object seen against face of sun.  disc in profile???,3/16/2001,49.883333,-97.166667
22,20813,12/27/1995 03:00,winnipeg (canada),mb,ca,other,900,5-15mins,Weird lights over Winnipeg,2/18/2001,49.883333,-97.166667
23,21015,12/28/2005 19:40,wabowden (canada),mb,ca,light,5,5 seconds,Blue light seen near Thompson&#44 Manitoba. zig zagged and diappeared behind horizon.,2/14/2006,54.916667,-98.633333
