,index,Date,City,State,Country,Type,Seconds,Duration,Description,Date added,Lat,Lon
0,272,10/10/2013 19:15,harvey station (canada),nb,ca,light,120,2 minutes,Slow moving bright orange light.,10/23/2013,45.716667,-67.0
1,2312,10/16/2001 20:00,doaktown (canada),nb,ca,unknown,120,hours,bright object bobbeb &amp; weaved in the air and moved unconventionally for 2 nights in a row.,2/22/2002,46.55,-66.116667
2,2837,10/18/2012 09:00,gagetown (canada),nb,ca,oval,300,5 minutes,Oval shaped&#44 orange glow&#44 hovering over the Gagetown Ferry route. Eventually shrunk to a pin hole of light and disappeared. No noise.,10/30/2012,45.766667,-66.15
3,3063,10/19/2013 20:05,riverview (canada),nb,ca,light,1200,15-20 minutes,Slow-moving red/orange lights.,10/23/2013,46.05,-64.81
4,6020,10/3/1955 06:00,stanley (near) (canada),nb,ca,disk,7200,2 hours,This is a true story as given to me,4/16/2005,55.416667,-104.55
5,7604,1/10/2013 02:28,beaverdam (canada),nb,ca,unknown,180,3 minutes,This is the second night that I witnessed this .. Lastnight also.I woke up right out of a sleep and was directed towards the window,2/4/2013,54.203611,-110.30666699999999
6,7824,11/10/2012 21:00,moncton (canada),nb,ca,circle,300,5 minutes,Small silent orange ball travelled across sky,11/19/2012,46.083333,-64.766667
7,8413,11/1/2007 23:00,fredericton (canada),nb,ca,fireball,5,3-5 seconds,Meteor-like green UFO,11/28/2007,45.95,-66.633333
8,9263,11/14/2013 18:40,fredericton (canada),nb,ca,triangle,120,1-2 minutes,Sighting of a Triangular Craft  over Fredericton flying so low I could make out the details of it&#39s underside.,11/20/2013,45.95,-66.633333
9,11227,1/1/2011 00:20,saint john (canada),nb,ca,circle,180,3 min,TWO ORANGE CIRCLES SEEN  AND PICTURES OF THIRD CIRCLE ALL MOVING AWAY,1/5/2011,45.266667,-66.06666700000001
10,11764,11/21/2004 00:15,saint john (canada),nb,ca,triangle,60,1 min,BRIGHT WHITE AND ORANGE TRIANGLE OBJECT - SAINT JOHN NB CANADA HIGHWAY 1 SOUTH,12/3/2004,45.266667,-66.06666700000001
11,13581,11/28/2013 19:50,moncton (canada),nb,ca,fireball,15,10-15 seconds,Blue fireball travels across the horizon.,12/2/2013,46.083333,-64.766667
