,index,Date,City,State,Country,Type,Seconds,Duration,Description,Date added,Lat,Lon
0,2752,10/18/2003 23:00,bridgewater (canada),ns,ca,circle,300,5 minutes,White ball flying in the night sky&#44 very fast.,12/19/2003,44.366667,-64.516667
1,3429,10/21/2001 19:00,whycocomagh (canada),ns,ca,oval,300,5 minutes,whycocomagh&#44margaree valley mountain,2/1/2007,45.966667,-61.11666700000001
2,4216,10/24/1997 15:00,musquodoboit harbour (canada),ns,ca,other,45,45 secs +/-,H shaped craft seen in daylilght hours 9 years ago in Musquodobit Harbour area of Nova Scotia.,2/14/2006,44.783333,-63.15
3,9484,11/15/2003 19:30,halifax (canada),ns,ca,unknown,60,1min.,Strange lights moving together across the night sky then disapear moving extremely fast.,11/26/2003,44.65,-63.6
4,12385,11/22/2009 00:00,wolfville (canada),ns,ca,fireball,600,10 minutes,It was around midnight  I had woken up to a humming sound &#44 and bright orange light that was moving back and forth outside my window. T,2/14/2010,45.083333,-64.366667
5,14690,1/15/1990 22:00,sydney (canada),ns,ca,light,60,maby 1 minute?,Light overhead in Sydney Nova Scotia,8/28/2002,46.15,-60.166667000000004
6,17796,12/12/2012 17:40,sydney (canada),ns,ca,sphere,5,5 seconds,Ball of light  ignights into a green flare-up.Ball of light  ignites into a green flare-up.,12/20/2012,46.15,-60.166667000000004
7,17837,12/12/2013 22:30,new glasgow (canada),ns,ca,light,3,3 seconds,Four Fast Walkers caught on NightVision.,12/23/2013,45.583333,-62.63333299999999
8,19255,12/20/1999 23:00,eastern passage (canada),ns,ca,fireball,600,10 minutes,This evening I was driving my can and saw what looked like a fire over a hill.  When I came past the hill and was on the water front lo,9/6/2002,44.616667,-63.483332999999995
9,20457,12/25/2002 05:00,glace bay (canada),ns,ca,sphere,10800,3 hrs,Looked like a bright star just to the left  of the little dipper. But when zoomed in  with a video camera&#44looked liked a planet&#44But the,3/21/2003,46.2,-59.966667
10,22229,12/4/2003 21:00,dartmouth (canada),ns,ca,unknown,60,approx: 1 minute,HBCCUFO CANADIAN REPORT:  The object hovered and wobbled.,3/17/2004,44.666667,-63.566667
11,23260,1/27/2008 01:00,sackville (canada),ns,ca,circle,3,2-3 seconds,Bright-White round-shape in the sky for a couple of seconds,2/14/2008,45.883333,-64.35
12,25081,1/7/2007 01:30,pictou (canada),ns,ca,other,10,5/10 seconds,The object was 80 degree up to the west two lines very bright lime green moving very fast down past the line of sight.,2/1/2007,45.666667,-62.7
13,25916,2/1/2007 01:00,lunenburg (canada),ns,ca,light,10,10 seconds,light in nova scotia&#44 canada,2/24/2007,45.06,-74.91
14,26886,2/16/2003 19:00,pictou (canada),ns,ca,unknown,20,10-20 sec.,I WAS MERELY SITTNIG IN MY ROOM WHEN&#44 FOR SOME REASON&#44 AT THE EXACT MOMENT IT WAS VISIBLE&#44 I LOOKED OUT OF MY WINDOW AND VIEWED AN OBJE,2/25/2003,45.666667,-62.7
15,27364,2/19/2008 02:15,sydney (canada),ns,ca,fireball,15,15 seconds,very high green fireball very high velocity,3/4/2008,46.15,-60.166667000000004
16,30726,3/1/2009 15:30,windsor (canada),ns,ca,egg,360,6 minutes,Egg shaped UFO floating and levitating before blinking off.,3/19/2009,45.583333,-72.0
17,32122,3/17/2013 01:00,sydney (canada),ns,ca,fireball,40,40 seconds,Driving on grand lake road&#44 noticed a large orange/green glow ripping across the sky with a lit up tail before disappearing&#44 over grand,5/15/2013,46.15,-60.166667000000004
18,33307,3/24/2006 22:45,halifax (canada),ns,ca,light,600,10mins,3 lit objects in triangle formation,5/15/2006,44.65,-63.6
19,33539,3/25/2014 06:00,halifax (canada),ns,ca,circle,1800,30 minutes,Moving stars and V-shaped craft.,3/27/2014,44.65,-63.6
