,index,Date,City,State,Country,Type,Seconds,Duration,Description,Date added,Lat,Lon
0,12034,11/2/2007 05:00,deline (canada),nt,ca,changing,21600,6 hours,WE viewed as illuminated disc like shaped object in the sky for over 3 hours and got it all on video. ((NUFORC Note:  Venus?  PD)),11/28/2007,65.183333,-123.41666699999999
1,18103,12/14/2004 23:30,pond inlet (canada),nt,ca,circle,15,10-15 seconds,Racing lights,1/11/2005,72.7,-78.0
2,20245,12/24/2007 17:00,sanikiluaq (canada),nt,ca,light,40,30 to 40 seconds,rotated towards the left and dimmed out and soon followed by the other bright light,1/21/2008,56.533333,-79.233333
3,23188,12/7/2003 17:00,yellowknife (canada),nt,ca,rectangle,120,2 mins.,WE WERE driving from the west to the east on Highway 3 approx. 35kls. from Yellowknife when I observed what appeared to be a bank of VE,2/12/2004,62.45,-114.35
4,23811,12/9/2004 16:15,yellowknife (canada),nt,ca,oval,480,8 minutes,Twilight sighting of bright&#44 glowing&#44 red&#44 oval and moving object in northern Canada.,12/14/2004,62.45,-114.35
5,26049,2/12/1999 23:10,tuktoyaktuk (canada),nt,ca,disk,120,2 minutes,Star like UFO,2/18/2001,69.45,-133.066667
6,28931,2/28/1999 16:05,yellowknife (canada),nt,ca,circle,1200,20mins,I was out side with my friends and we saw f-18s and two circle like shapes in the air. The f-18s were following them.&#33&#33,12/2/2000,62.45,-114.35
7,40701,4/7/2006 22:44,pond inlet (canada),nt,ca,circle,30,30 seconds,We went outside for smoke&#44 when my brother looked up at the sky and point to south east from us&#44 I saw blue light shaped circle streaki,5/15/2006,72.7,-78.0
8,51230,6/23/2003 13:00,yellowknife (canada),nt,ca,cigar,45,45 seconds,cigar shaped craft&#44 motionless&#44  definately not a conventional aircraft,7/16/2003,62.45,-114.35
9,58342,7/20/2004 14:00,yellowknife (canada),nt,ca,unknown,20,20 seconds,Unusual object observed in skies over Yellowknife.,3/4/2008,62.45,-114.35
10,59423,7/24/2004 23:07,sanikiluaq (canada),nt,ca,light,2700,45 minutes,UFO lights time:23:07 Sanikiluaq&#44 Nunavut Canada duration of sighting 45 minutes&#44 lights(bright white&#44red&#44blue),10/27/2004,56.533333,-79.233333
11,59424,7/24/2004 23:07,sanikiluaq (canada),nt,ca,light,2700,45 minutes,Unidentified flying lights,10/27/2004,56.533333,-79.233333
12,74751,9/15/1999 23:00,yellowknife (canada),nt,ca,fireball,2.0,a few seconds,Blueish Green Fireball Traveling South to North&#44 prompting me to turn around and head back to civilization.,12/2/2000,62.45,-114.35
