,index,Date,City,State,Country,Type,Seconds,Duration,Description,Date added,Lat,Lon
0,61,10/10/1994 23:00,toronto (greater toronto area) (canada),on,ca,sphere,3600,~1 hour,Large rusty sphere,7/3/2013,43.666667,-79.416667
1,132,10/10/2004 09:45,nobel (canada),on,ca,unknown,300,5:00,Floating Red Object,10/27/2004,45.416667,-80.1
2,185,10/10/2008 02:00,london (canada),on,ca,other,120,2 min. approx,C shape with a T front over London ont on Oct 10&#44 2008 on a clear day around 2PM,6/9/2009,42.983333,-81.25
3,240,10/10/2011 20:00,hamilton (canada),on,ca,flash,4,2-4 seconds,Strange flash in the sky,10/19/2011,43.25,-79.833333
4,270,10/10/2013 17:10,ottawa (canada),on,ca,light,10,10 seconds,FATHER: My name is Eldon Trepanier&#44  and I assure you that the following statement is true.At approximately 5:10 pm&#44 I spotted a very b,10/14/2013,45.416667,-75.7
5,308,10/11/1999 18:00,parry sound (near) (canada),on,ca,disk,6,6 seconds,A silvery disk shaped object&#44 flew over an aircraft&#44 then disappeared.,4/22/2003,45.333333,-80.033333
6,454,10/11/2013 03:00,hamilton (canada),on,ca,cylinder,3600,0300:0400,Enlarged still frame pics of the video show strage shapes and strange colors.,10/23/2013,43.25,-79.833333
7,457,10/11/2013 16:01,pickering (canada),on,ca,circle,300,5 minutes,Glowing blue sphere in Ontario&#44 Canada.,1/30/2014,43.866667,-79.033333
8,476,10/11/2013 22:18,windsor (canada),on,ca,light,300,3-5 minutes,5 orange lights seen in sky over windsor.,10/14/2013,45.583333,-72.0
9,509,10/1/1970 01:00,kingston (canada),on,ca,sphere,180,3 minutes,Sept. 1970. Kingston Ontario. Spherical grren orb. 3 minute duration. Bright green orb travelled slowly and then took off extremely qui,10/11/2005,44.233333,-76.483333
10,670,10/1/2000 09:00,markham (canada),on,ca,cigar,600,10 min,It was some time in oct 2000.I was taking my wife to work on Markham road&#44 traveling south bound. There was a lot of traffic and lots o,8/5/2009,43.866667,-79.266667
11,726,10/1/2003 02:00,peterborough (canada),on,ca,unknown,30,15-30 seconds,GARGATUAN EXLPOSION IN THE SKY EMITS BRILLIANT BLINDING LIGHT AND EARTHQUAKE LIKE TREMORS,6/4/2004,44.3,-78.333333
12,787,10/1/2005 20:08,hamilton (canada),on,ca,light,15,15 seconds,2 bright lights simutaneously travelling north - Hamilton Ontario Canada -,10/11/2005,43.25,-79.833333
13,854,10/1/2007 01:00,barrie (canada),on,ca,circle,60,1min,the ufos went over my house  500 Lights On Object0: Yes,11/28/2007,44.383333,-79.7
14,924,10/1/2011 00:53,thunder bay (canada),on,ca,other,5,4-5 seconds,0:53 or 12:53 am EST&#44 Saturday October 1st 2011&#44 Thunder Bay&#44 ON&#44 T like figure&#44 4 seconds&#44 dim orange lights&#44 silent  500 Lights On Ob,10/10/2011,48.4,-89.233333
15,952,10/1/2012 11:20,welland (canada),on,ca,fireball,2700,45 minutes,Groups of 2 Orange/yellow balls shot through the sky in a set path and disappeared over and over,10/30/2012,42.983333,-79.25
16,1065,10/12/2003 21:15,pickering (canada),on,ca,circle,7200,a few hours,There were 4 sometimes 5 seperate crafts with one bright light each which was all you could see and  were changing formations.,1/17/2004,43.866667,-79.033333
17,1093,10/12/2006 01:23,cornwall (canada),on,ca,sphere,1620,27 minutes,Floating red object over local baseball field.,10/8/2007,46.24,-63.21
18,1180,10/12/2012 21:25,oshawa (canada),on,ca,triangle,3,3 seconds,Large silent metallic craft&#44very fast and no lights,10/30/2012,43.9,-78.866667
19,1200,10/12/2013 20:28,keswick (canada),on,ca,sphere,120,2 minutes,Fuzzy orange sphere in night sky moving quickly south to north no nav lights visible,10/14/2013,44.25,-79.466667
20,1213,10/12/2013 22:00,sundridge (canada),on,ca,sphere,15,several hours,Multi colored Lights that moved in all random directons.  ((NUFORC Note:  We suspect &quot;twinkling&quot; stars.  PD)),10/14/2013,45.766667,-79.4
21,1288,10/13/2003 07:00,mississauga (canada),on,ca,fireball,180,3 minutes,Large fiery meteor-like entry,10/17/2003,43.15,-79.5
22,1296,10/13/2003 20:15,bolton (canada),on,ca,light,120,2 minutes,Star like object flying/wobbling.,10/15/2003,43.883333,-79.733333
23,1345,10/13/2007 01:59,iroquois falls (canada),on,ca,triangle,120,approxmately 2 minutes,triangular shaped craft with lights at each point&#44 rotating over remote northern Canadian town. report 30 minutes after witnessing.,3/4/2008,48.766667,-80.666667
24,1366,10/13/2009 02:45,belleville (canada),on,ca,disk,5,5 seconds,I was driving back to Cornwall ontario from burlington for thanksgiving. It was approximately 0245 -0300 hours in the am. It was at the,7/6/2010,44.166667,-77.383333
25,1448,10/13/2013 04:30,toronto (canada),on,ca,fireball,3600,1 hour,Orange fireballs over Lake Ontario.  Geometric shapes.,10/14/2013,43.666667,-79.416667
26,1503,10/14/1999 16:30,kingston (canada),on,ca,light,45,30-45 seconds,I was looking straight up at my TV antenna because my cable had become disconnected from the antenna.  I saw a small bright light glidi,12/2/2000,44.233333,-76.483333
27,1529,10/14/2002 18:05,windsor (canada),on,ca,other,600,10 minutes,5 slow moving objects near detroit/windsor,10/28/2002,45.583333,-72.0
28,1559,10/14/2002 22:30,oshawa (canada),on,ca,light,1200,15-20 min.,UP to 7 silent orange lights seen hovering for quite a while. ((Vandenberg rocket launch.  PD)),10/15/2002,43.9,-78.866667
29,1688,10/14/2013 16:00,hawkesbury (canada),on,ca,sphere,30,30 seconds,One bright-white orb moving erratically over highway 50 in quebec &#44canada seemed to appear and warp to another point in the sky.,10/23/2013,45.616667,-74.6
30,1689,10/14/2013 16:00,hawkesbury (canada),on,ca,sphere,30,30 seconds,One bright-white orb moving erratically over highway 50 in quebec&#44 canada seemed to appear and warp to another point in the sky.,10/23/2013,45.616667,-74.6
31,1696,10/14/2013 19:30,toronto (canada),on,ca,light,1200,15-20 minutes,8 Red Orb Lights over large City of Toronto.,10/23/2013,43.666667,-79.416667
32,1755,10/15/1972 08:30,toronto (canada),on,ca,oval,2,seconds,observed tarnished&#44 oval shaped object with black symbols on side travelling south at a steady speed towards Lake Ontario,5/12/2010,43.666667,-79.416667
33,1857,10/15/1988 01:00,ottawa (canada),on,ca,triangle,2700,45 minutes,...triangular in shape blotting out most of the bluff in the background&#44 the horizon and part of the night sky,7/5/2005,45.416667,-75.7
34,1874,10/15/1989 23:00,georgetown (canada),on,ca,oval,240,3-4 minutes,georgetown sighting  anyone else see it?,2/14/2008,46.183333,-62.533333
35,1985,10/15/1999 19:30,mississauga (canada),on,ca,triangle,3,3 seconds,Was outside taking a coffee break and notice three what i first thought was three fighters flying in formation&#44 but there was no engine,12/2/2000,43.15,-79.5
36,2000,10/15/2000 01:30,whitby (canada),on,ca,circle,1,< sec,Green hazy light seen north of Toronto,12/2/2000,43.866667,-78.93333299999999
37,2116,10/15/2004 23:00,waterloo (canada),on,ca,circle,15,15 second,Three large lights in triangle form and then they got smaller and disappeared,2/1/2007,45.35,-72.516667
38,2145,10/15/2005 23:40,thunder bay (canada),on,ca,disk,120,2 minutes,Cloudly except for a circle around the near full moon&#44 which was illuminated in blues and greens&#44 then a saucer appeared,10/20/2005,48.4,-89.233333
39,2502,10/17/1998 02:17,ottawa (woodroffe &amp; baseline) (canada),on,ca,light,30,30 sec,from centre of Orion&#44 a seemingly far off single point of light&#44 brightness of a star&#44 moved downward to horizon&#44 side to side (about 2,12/2/2000,45.416667,-75.7
40,2667,10/17/2013 01:00,cornwall (canada),on,ca,other,180,3 minutes,freek me out ?,1/16/2014,46.24,-63.21
41,2890,10/19/1998 04:40,chesterville (canada),on,ca,disk,420,5-7mins,early morning sphere sighting&#44 hovering just above trees appx 100 yds away&#44 silent but craft very distinctive.,4/27/2004,45.966667,-71.81666700000001
42,2908,10/19/2000 00:15,pickering (canada),on,ca,circle,600,5 - 10 minutes,Quick sightings of 2 flying objects... not of this world&#33,12/2/2000,43.866667,-79.033333
43,2994,10/19/2009 01:41,oshawa (canada),on,ca,diamond,20,20 seconds,V shaped formation of diamond shaped lights over Oshawa Ontario.,12/12/2009,43.9,-78.866667
44,3087,10/19/2013 23:30,napanee (canada),on,ca,fireball,2700,45 minutes,Fireball over Lake Ontario.,10/23/2013,44.25,-76.95
45,3119,10/20/1989 00:00,ottawa (canada),on,ca,circle,80,80 second,It was snowy winter night&#44I sat camly listening to slow music flowing out of my girl friend car record&#44she was sitting in the driving s,11/2/2004,45.416667,-75.7
46,3183,10/20/2002 23:30,toronto (canada),on,ca,light,2,seconds,White light shots across sky.,10/28/2002,43.666667,-79.416667
