,index,Date,City,State,Country,Type,Seconds,Duration,Description,Date added,Lat,Lon
0,13233,11/27/2003 22:25,summerside (canada),pe,ca,oval,15,15 sec,Reddish Oval Observed,12/9/2003,46.4,-63.783333
1,27679,2/21/2003 22:00,wellington (canada),pe,ca,changing,1500,25 minuter,bright lights moved very fast hovered up and down side to side lost our power pets went nuts and skidoos shut off,2/25/2003,46.433333,-64.0
2,27866,2/2/2004 19:30,charlottetown (canada),pe,ca,fireball,2,seconds,fireball over charlottetown,2/12/2004,46.233333,-63.13333299999999
3,50055,6/19/1998 21:00,charlottetown (canada),pe,ca,triangle,900,15 min,Hovering craft over water,3/2/2004,46.233333,-63.13333299999999
4,56618,7/15/1975 21:00,summerside (canada),pe,ca,rectangle,300,5 minutes,A silent&#44 floating&#44 rectangular object the size of a football field&#44 skimming the tops of buildings.,12/12/2009,46.4,-63.783333
5,64162,8/10/1990 22:00,cavendish (canada),pe,ca,light,420,5-7 minutes,one light became three and moved down to the ocean,12/7/2006,47.716667,-53.5
6,68720,8/22/1962 20:00,charlottetown (canada),pe,ca,light,180.0,3 minutes,Speeding light from horizon stopping and turning 90 degrees at high speed and then hovering overhead.,8/7/2007,46.233333,-63.13333299999999
7,69099,8/23/2009 22:30,summerside (canada),pe,ca,circle,60.0,1 min,White object flying in zigzag pattern over Summerside&#44 PEI&#44 Canada,8/27/2009,46.4,-63.783333
8,74515,9/15/1936 19:00,albany (canada),pe,ca,rectangle,1200.0,2o minutes,I WAS PLAYING AT MY FRIEND&#39S HOME AFTER SUPPER AND HER MOTHER WORRIEDLY REMINDED ME IT WAS LATER THAN SHE REALIZED. HER OLDER DAUGHTER,3/19/2009,52.25,-81.616667
9,80126,9/9/1999 20:45,charlottetown (canada),pe,ca,disk,900.0,15 minutes,Suspended white light with blue and red blinking lights low in sky on very clear night,1/10/2009,46.233333,-63.13333299999999
