,index,Date,City,State,Country,Type,Seconds,Duration,Description,Date added,Lat,Lon
0,2267,10/15/2013 17:00,kirkland (canada),qc,ca,disk,300,5 minutes,Flying saucer there than gone in seconds.,3/18/2014,45.46,-73.85
1,3229,10/20/2005 01:34,chateauguay (canada),qc,ca,changing,20,20 seconds,Driving home from work on Highway 30. Saw huge bright light move side to side and then vanished.,11/3/2005,45.383333,-73.75
2,4391,10/24/2012 22:22,montreal (canada),qc,ca,changing,3,2-3 seconds,Falling light with a changing shape in rotation.,10/30/2012,45.5,-73.583333
3,5145,10/28/2010 07:25,montreal (canada),qc,ca,teardrop,180,2 - 3 minutes,White triangles flying in sync,11/21/2010,45.5,-73.583333
4,5195,10/28/2013 17:30,pierrefonds (canada),qc,ca,disk,600,10 minutes,UFO.,11/11/2013,45.466667,-73.883333
5,5199,10/28/2013 20:30,pierrefonds (canada),qc,ca,light,1200,>20 minutes,7 UFOs.,11/11/2013,45.466667,-73.883333
6,6786,10/6/2011 23:30,montreal (canada),qc,ca,other,1200,20 minutes,Report of incident 9 to 10 spheres were dancing above a low cloud cover zooming  in and out in odd patterns; some slowly &#44 some quickly,10/10/2011,45.5,-73.583333
7,7947,11/11/2004 01:00,quebec (canada),qc,ca,egg,600,10 minutes,Craft sighted over lake.,12/3/2004,46.8,-71.25
8,8062,11/11/2013 02:25,montreal (canada),qc,ca,diamond,180,3 minutes,Downtown--seen something going super fast and high in the sky&#44 a lot of lights flashing.,11/20/2013,45.5,-73.583333
9,9244,11/14/2012 19:30,boucherville (canada),qc,ca,light,2,1-2 seconds,Round bright light object moving at the speed of light,11/19/2012,45.6,-73.45
10,9336,11/15/1987 02:00,gatineau (canada),qc,ca,triangle,2700,45 min,The triangle was black as a hole in the night sky and as large as a football field.,7/13/2005,45.483333,-75.65
11,11104,1/1/2008 01:30,gatineau (canada),qc,ca,light,1500,25 minutes,Bright orange lights above Ottawa / Gatineau,1/21/2008,45.483333,-75.65
12,11904,1/12/1998 21:30,richmond (canada),qc,ca,light,5,5 second,The light was fast going between trees just like the light u see attacking plains,6/2/2013,45.666667,-72.15
13,13681,11/29/2008 18:00,montreal (canada),qc,ca,oval,3600,1 hour,2-White stobing oval objects in the sky.  ((NUFORC Note:  Ihe witness may have been looking at Venus &amp; Jupiter&#44 we believe.  PD)),1/10/2009,45.5,-73.583333
14,14095,1/13/2007 18:40,laval (canada),qc,ca,formation,45,45 sec,2 UFO &quot;geese&quot; formations over Canada,2/1/2007,45.6,-73.733333
