,index,Date,City,State,Country,Type,Seconds,Duration,Description,Date added,Lat,Lon
0,2713,10/18/2001 00:00,regina (canada),sa,ca,light,120,2 min,red and white strobing light moving oddly&#44 not a jet&#44 looked far off.,11/20/2001,50.45,-104.616667
1,5668,10/31/1995 23:35,regina (canada),sa,ca,triangle,300,5 min.,On October 31&#44 1995&#44 I was outside waiting for my cab to take me to work.  I looked up to the East sky and first noticed a light which,7/26/2002,50.45,-104.616667
2,7411,1/10/1971 20:00,la ronge (canada),sa,ca,unknown,300,5 minutes,sighting at anglo rouyn mine in the early 1970&#39 s in norhtern sk.,4/1/2001,55.1,-105.3
3,7879,11/11/1989 11:00,saskatoon (canada),sa,ca,cigar,3600,1 hour,I was having breakfast when I noticed a cigar shaped and cloud color object not moving at all in the sky about 20 to 30 miles away ...,12/2/2000,52.133333,-106.66666699999999
4,13624,11/29/2002 01:30,saskatoon (canada),sa,ca,triangle,10800,min 3 hours,bright object that seemed to be affected by the gusty winds ?,12/23/2002,52.133333,-106.66666699999999
5,21313,12/30/2002 19:30,prince albert (canada),sa,ca,oval,5,5 sec,it looked like a satellite . same brightness and size travelling across the eastern sky. It then changed direction and increased speed,2/5/2003,53.2,-105.75
6,23760,1/29/2000 01:30,prince albert (canada),sa,ca,diamond,7200,2 hours,Seemed to stay in one area for approx. 2 hours&#44 is still there at 03:17 and during the event the object seemed to change color and inte,12/2/2000,53.2,-105.75
7,23761,1/29/2000 02:00,prince albert (canada),sa,ca,triangle,3600,1 hour,A triangle-shaped craft or object&#44 with red&#44green&#44and yellow lights flashing in seqences. Seemed to be hovering in the southern sky at,12/2/2000,53.2,-105.75
8,40148,4/4/2001 23:20,saskatoon (canada),sa,ca,disk,3000,50 minutes,stationary&#44 flat disk like shape with white red and green lights flashing intermittenly seen south of Saskatoon&#44 April 4&#44 2001 11;20pm,4/28/2001,52.133333,-106.66666699999999
9,42419,5/15/1996 03:00,regina (canada),sa,ca,unknown,4,4 sec,it was a light moving south east then it was like a camera flash and it was gone the for one sec it was there and streaked norht and wa,12/2/2000,50.45,-104.616667
10,44238,5/25/2000 20:00,saskatoon (approx 10 minutes west of) (canada),sa,ca,oval,120,approx 2 minutes,Silvery white&#44 oval object over the clouds.,12/2/2000,52.133333,-106.66666699999999
11,44702,5/28/2000 11:35,saskatoon (canada),sa,ca,teardrop,60,1 minute,There is a teardrop and triangular shiny object floating above a small forest edge. It floated stably and produced absolutely no sound.,8/5/2001,52.133333,-106.66666699999999
12,48361,6/14/1962 02:00,yorkton (canada),sa,ca,disk,60,45 - 60 seconds,Dull aluminum alien space craft &#44silent&#44motionless hover&#44150 Ft. away&#44crystal clear view&#44country sighting&#44SCARY then&#33,5/14/2002,51.216667,-102.466667
13,49074,6/15/1996 21:30,saskatoon (canada),sa,ca,oval,240,3-4 minutes,300-400 ft long&#44 oval and orange did not move or make any noise at all,8/5/2001,52.133333,-106.66666699999999
14,49219,6/15/2002 14:30,saskatoon (canada),sa,ca,triangle,60,60 seconds,large floating triangle saw floating just outside of a third story window.,7/1/2002,52.133333,-106.66666699999999
15,50601,6/21/1998 22:30,saskatoon (canada),sa,ca,other,2,<2 seconds,Wing-shaped or boomerang-shaped craft at high altitude directly overhead.,12/2/2000,52.133333,-106.66666699999999
16,60771,7/30/2000 22:07,humboldt (near saskatoon) (canada),sa,ca,flash,5,3-5 seconds,Bright flash directly overhead in night sky&#44 lasting two or three seconds.,12/2/2000,52.2,-105.11666699999999
17,65267,8/12/1997 00:20,pilot butte (canada),sa,ca,chevron,30,30 secs,A huge&#44 &quot;gilver&quot; coloured pair of wings&#44 with undereath protuberances&#44 about 2ft long&#44 rather like a gold ingot.,2/18/2001,50.466667,-104.416667
18,65268,8/12/1997 00:30,pilot butte (canada),sa,ca,chevron,60,1min.,seen when observing the Perseid meteor shower august 1997,12/2/2000,50.466667,-104.416667
19,66347,8/15/1987 22:00,saskatoon (canada),sa,ca,light,1200.0,20 minutes,I used to sit on our deck&#44on summer evenings and look at the stars. This was on a farm south of Saskatoon. Infrequently&#44 these lights w,12/2/2000,52.133333,-106.66666699999999
20,67401,8/18/2001 21:57,saskatoon (canada),sa,ca,disk,53.0,53 seconds,we thought it was a airplane until we saw it disk like shape,8/20/2001,52.133333,-106.66666699999999
21,67971,8/20/1999 22:10,saskatoon (canada),sa,ca,formation,60.0,less than 1 min,I saw what a first appeared to be a satellite but it was being followed by three lights in a V formation and then another 3 lights in a,12/2/2000,52.133333,-106.66666699999999
22,68982,8/23/2000 11:34,saskatoon (canada),sa,ca,flash,30.0,30 seconds,flashes of light&#44 quickly dissapeared afterwards,4/8/2002,52.133333,-106.66666699999999
23,76854,9/22/2001 20:00,saskatoon (canada),sa,ca,chevron,7.0,5 - 7 seconds,Wedge or chevron shaped object passed in front of crescent moon.,10/12/2001,52.133333,-106.66666699999999
24,78578,9/30/1968 19:00,lanigan (canada),sa,ca,diamond,15.0,15 seconds,The light came off in long&#44 slightly dark&#44 transparent rays for about 10-15 seconds.,12/2/2000,51.85,-105.03333300000001
25,78860,9/3/2000 22:45,rosthern (canada),sa,ca,cigar,2.0,few seconds,I defintely saw a silvery cigar shaped object descending,12/2/2000,52.65,-106.33333300000001
26,79715,9/7/2001 04:00,regina (canada),sa,ca,light,7200.0,2 hours,While facing east in my bedroom at 4:00 a.m. central standard time&#44 I saw what appeared to be a very bright star in the sky&#44 low on the,10/12/2001,50.45,-104.616667
